match_id,Player 1,Player 2,Pl 1 hand,Pl 2 hand,Gender,Date,Tournament,Round,Time,Court,Surface,Umpire,Best of,Final TB?,Charted by
20220419-W-Istanbul-R32-Julia_Grabher-Pemra_Ozgen,Julia Grabher,Pemra Ozgen,R,R,W,20220419,Istanbul,R32,,,Clay,,3,1,andy
20220416-W-BJK_Cup_Qualifiers-RR-Sara_Sorribes_Tormo-Arantxa_Rus,Sara Sorribes Tormo,Arantxa Rus,R,L,W,20220416,BJK Cup Qualifiers,RR,13:10,Den Bosch,Clay,Marta Mrozinska,3,1,Zindaras
20220416-W-BJK_Cup_Qualifiers-RR-Andreea_Prisacariu-Iga_Swiatek,Andreea Prisacariu,Iga Swiatek,R,R,W,20220416,BJK Cup Qualifiers,RR,,,Hard,Isabell Seefried,3,1,Elephant
20220415-W-BJK_Cup_Qualifiers-RR-Sara_Sorribes_Tormo-Lesley_Kerkhove,Sara Sorribes Tormo,Lesley Kerkhove,R,R,W,20220415,BJK Cup Qualifiers,RR,16:25,Den Bosch,Clay,Marta Mrozinska,3,1,Zindaras
20220415-W-BJK_Cup_Qualifiers-RR-Rebecca_Marino-Daniela_Vismane,Rebecca Marino,Daniela Vismane,R,R,W,20220415,BJK Cup Qualifiers,RR,,Pacific Coliseum Vancouver,Hard,,3,1,Zindaras
20220415-W-BJK_Cup_Qualifiers-RR-Iga_Swiatek-Mihaela_Buzarnescu,Iga Swiatek,Mihaela Buzarnescu,R,L,W,20220415,BJK Cup Qualifiers,RR,,,Hard,Isabell Seefried,3,1,Elephant
20220415-W-BJK_Cup_Qualifiers-RR-Arantxa_Rus-Nuria_Parrizas_Diaz,Arantxa Rus,Nuria Parrizas Diaz,L,R,W,20220415,BJK Cup Qualifiers,RR,14:15,Den Bosch,Clay,Damien Dumusois,3,1,Zindaras
20220410-W-Bogota-F-Tatjana_Maria-Laura_Pigossi,Tatjana Maria,Laura Pigossi,R,R,W,20220410,Bogota,F,,Cancha Central,Clay,Julie Kjendlie,3,1,Zindaras
20220407-W-Bogota-R16-Suzan_Lamens-Irina_Maria_Bara,Suzan Lamens,Irina Maria Bara,R,R,W,20220407,Bogota,R16,,Cancha Central,Clay,Fabio Souza,3,1,Zindaras
20220406-W-Charleston-R32-Linda_Fruhvirtova-Belinda_Bencic,Linda Fruhvirtova,Belinda Bencic,R,R,W,20220406,Charleston,R32,,,Clay,Yvette Kahn,3,1,Elephant
