match_id,row,pts,pts_won,first_in,aces,svc_winners,rally_winners,rally_forced,unforced,dfs
20120301-M-Delray_Beach-R16-Bernard_Tomic-Tim_Smyczek,GP1,20,10,11,2,3,1,3,4,4
20120301-M-Delray_Beach-R16-Bernard_Tomic-Tim_Smyczek,GP2,7,6,6,0,1,2,1,0,0
20120301-M-Delray_Beach-R16-Bernard_Tomic-Tim_Smyczek,Deuce1,11,9,9,0,7,0,0,2,0
20120301-M-Delray_Beach-R16-Bernard_Tomic-Tim_Smyczek,Deuce2,5,2,2,0,1,0,0,2,1
20120301-M-Delray_Beach-R16-Bernard_Tomic-Tim_Smyczek,STotal1,38,26,27,2,13,3,3,6,4
20120301-M-Delray_Beach-R16-Bernard_Tomic-Tim_Smyczek,STotal2,16,9,11,0,2,3,1,5,1
20120303-M-Dubai-F-Andy_Murray-Roger_Federer,BP1,9,6,4,0,1,1,0,2,0
20120303-M-Dubai-F-Andy_Murray-Roger_Federer,BP2,3,2,1,0,0,0,0,0,0
20120303-M-Dubai-F-Andy_Murray-Roger_Federer,GP1,11,8,9,3,0,2,0,2,1
20120303-M-Dubai-F-Andy_Murray-Roger_Federer,GP2,18,10,8,1,0,5,1,2,1
20120303-M-Dubai-F-Andy_Murray-Roger_Federer,Deuce1,6,3,0,0,0,0,1,1,1
20120303-M-Dubai-F-Andy_Murray-Roger_Federer,Deuce2,5,4,3,0,1,1,1,0,0
20120303-M-Dubai-F-Andy_Murray-Roger_Federer,STotal1,26,17,13,3,1,3,1,5,2
20120303-M-Dubai-F-Andy_Murray-Roger_Federer,STotal2,26,16,12,1,1,6,2,2,1
20120720-M-Hamburg-QF-Jeremy_Chardy-Juan_Monaco,BP1,9,4,3,1,2,0,0,3,0
20120720-M-Hamburg-QF-Jeremy_Chardy-Juan_Monaco,BP2,4,2,2,0,1,0,0,1,0
20120720-M-Hamburg-QF-Jeremy_Chardy-Juan_Monaco,GP1,12,6,6,1,2,0,1,6,0
20120720-M-Hamburg-QF-Jeremy_Chardy-Juan_Monaco,GP2,8,8,7,0,3,3,0,0,0
20120720-M-Hamburg-QF-Jeremy_Chardy-Juan_Monaco,Deuce1,13,8,6,1,3,2,1,2,1
20120720-M-Hamburg-QF-Jeremy_Chardy-Juan_Monaco,Deuce2,5,3,3,0,2,0,0,2,0
20120720-M-Hamburg-QF-Jeremy_Chardy-Juan_Monaco,STotal1,34,18,15,3,7,2,2,11,1
20120720-M-Hamburg-QF-Jeremy_Chardy-Juan_Monaco,STotal2,17,13,12,0,6,3,0,3,0
20120316-M-Indian_Wells_Masters-SF-Roger_Federer-Rafael_Nadal,BP1,4,2,4,1,1,0,0,1,0
20120316-M-Indian_Wells_Masters-SF-Roger_Federer-Rafael_Nadal,BP2,6,2,5,0,1,0,0,1,0
20120316-M-Indian_Wells_Masters-SF-Roger_Federer-Rafael_Nadal,GP1,9,8,5,1,1,3,2,1,0
20120316-M-Indian_Wells_Masters-SF-Roger_Federer-Rafael_Nadal,GP2,9,5,7,0,0,0,2,1,0
20120316-M-Indian_Wells_Masters-SF-Roger_Federer-Rafael_Nadal,Deuce1,5,5,4,1,1,1,0,0,0
20120316-M-Indian_Wells_Masters-SF-Roger_Federer-Rafael_Nadal,Deuce2,8,5,6,0,1,0,1,1,1
20120316-M-Indian_Wells_Masters-SF-Roger_Federer-Rafael_Nadal,STotal1,18,15,13,3,3,4,2,2,0
20120316-M-Indian_Wells_Masters-SF-Roger_Federer-Rafael_Nadal,STotal2,23,12,18,0,2,0,3,3,1
20120313-M-Indian_Wells_Masters-R32-Ryan_Harrison-Guillermo_Garcia_Lopez,BP1,8,5,4,0,1,2,2,2,1
20120313-M-Indian_Wells_Masters-R32-Ryan_Harrison-Guillermo_Garcia_Lopez,BP2,7,2,4,0,0,1,1,4,0
20120313-M-Indian_Wells_Masters-R32-Ryan_Harrison-Guillermo_Garcia_Lopez,GP1,12,8,8,1,3,1,1,1,1
20120313-M-Indian_Wells_Masters-R32-Ryan_Harrison-Guillermo_Garcia_Lopez,GP2,15,6,7,0,1,1,0,6,1
20120313-M-Indian_Wells_Masters-R32-Ryan_Harrison-Guillermo_Garcia_Lopez,Deuce1,9,5,7,0,1,2,1,2,0
20120313-M-Indian_Wells_Masters-R32-Ryan_Harrison-Guillermo_Garcia_Lopez,Deuce2,9,5,6,0,1,1,1,4,0
20120313-M-Indian_Wells_Masters-R32-Ryan_Harrison-Guillermo_Garcia_Lopez,STotal1,29,18,19,1,5,5,4,5,2
20120313-M-Indian_Wells_Masters-R32-Ryan_Harrison-Guillermo_Garcia_Lopez,STotal2,31,13,17,0,2,3,2,14,1
20120510-M-Madrid-R16-Roger_Federer-Richard_Gasquet,BP1,2,2,2,1,0,1,0,0,0
20120510-M-Madrid-R16-Roger_Federer-Richard_Gasquet,BP2,6,3,4,0,2,0,0,1,1
20120510-M-Madrid-R16-Roger_Federer-Richard_Gasquet,GP1,13,9,9,3,1,2,3,3,0
20120510-M-Madrid-R16-Roger_Federer-Richard_Gasquet,GP2,6,5,3,1,1,1,1,0,0
20120510-M-Madrid-R16-Roger_Federer-Richard_Gasquet,Deuce1,5,3,3,1,1,0,0,1,0
20120510-M-Madrid-R16-Roger_Federer-Richard_Gasquet,Deuce2,1,0,1,0,0,0,0,0,0
20120510-M-Madrid-R16-Roger_Federer-Richard_Gasquet,STotal1,20,14,14,5,2,3,3,4,0
20120510-M-Madrid-R16-Roger_Federer-Richard_Gasquet,STotal2,13,8,8,1,3,1,1,1,1
20120505-M-Munich-F-Marin_Cilic-Philipp_Kohlschreiber,BP1,2,0,0,0,0,0,0,1,0
20120505-M-Munich-F-Marin_Cilic-Philipp_Kohlschreiber,BP2,8,7,6,2,0,3,0,1,0
20120505-M-Munich-F-Marin_Cilic-Philipp_Kohlschreiber,GP1,11,8,7,1,4,3,0,2,1
20120505-M-Munich-F-Marin_Cilic-Philipp_Kohlschreiber,GP2,15,10,11,0,2,2,1,3,0
20120505-M-Munich-F-Marin_Cilic-Philipp_Kohlschreiber,Deuce1,7,6,1,0,1,1,0,1,0
20120505-M-Munich-F-Marin_Cilic-Philipp_Kohlschreiber,Deuce2,11,5,6,0,2,0,2,2,0
20120505-M-Munich-F-Marin_Cilic-Philipp_Kohlschreiber,STotal1,20,14,8,1,5,4,0,4,1
20120505-M-Munich-F-Marin_Cilic-Philipp_Kohlschreiber,STotal2,34,22,23,2,4,5,3,6,0
20121102-M-Paris_Masters-QF-Janko_Tipsarevic-Jerzy_Janowicz,BP1,8,4,3,1,0,0,1,1,1
20121102-M-Paris_Masters-QF-Janko_Tipsarevic-Jerzy_Janowicz,BP2,1,0,1,0,0,0,0,1,0
20121102-M-Paris_Masters-QF-Janko_Tipsarevic-Jerzy_Janowicz,GP1,15,7,5,0,1,0,1,1,1
20121102-M-Paris_Masters-QF-Janko_Tipsarevic-Jerzy_Janowicz,GP2,17,9,9,2,2,2,2,3,2
20121102-M-Paris_Masters-QF-Janko_Tipsarevic-Jerzy_Janowicz,Deuce1,13,7,6,0,3,0,2,4,0
20121102-M-Paris_Masters-QF-Janko_Tipsarevic-Jerzy_Janowicz,Deuce2,8,8,6,2,1,3,1,0,0
20121102-M-Paris_Masters-QF-Janko_Tipsarevic-Jerzy_Janowicz,STotal1,36,18,14,1,4,0,4,6,2
20121102-M-Paris_Masters-QF-Janko_Tipsarevic-Jerzy_Janowicz,STotal2,26,17,16,4,3,5,3,4,2
20121031-M-Paris_Masters-R32-Sam_Querrey-Novak_Djokovic,BP1,7,3,3,0,2,0,1,2,0
20121031-M-Paris_Masters-R32-Sam_Querrey-Novak_Djokovic,BP2,4,2,4,0,1,0,0,2,0
20121031-M-Paris_Masters-R32-Sam_Querrey-Novak_Djokovic,GP1,15,8,10,3,1,2,1,1,1
20121031-M-Paris_Masters-R32-Sam_Querrey-Novak_Djokovic,GP2,16,11,12,0,7,1,1,1,0
20121031-M-Paris_Masters-R32-Sam_Querrey-Novak_Djokovic,Deuce1,5,4,4,0,1,2,0,1,0
20121031-M-Paris_Masters-R32-Sam_Querrey-Novak_Djokovic,Deuce2,12,10,8,3,4,1,1,1,1
20121031-M-Paris_Masters-R32-Sam_Querrey-Novak_Djokovic,STotal1,27,15,17,3,4,4,2,4,1
20121031-M-Paris_Masters-R32-Sam_Querrey-Novak_Djokovic,STotal2,32,23,24,3,12,2,2,4,1
20120516-M-Rome_Masters-R32-Roger_Federer-Carlos_Berlocq,BP1,5,4,1,0,0,1,1,0,0
20120516-M-Rome_Masters-R32-Roger_Federer-Carlos_Berlocq,BP2,4,1,3,0,0,0,1,1,0
20120516-M-Rome_Masters-R32-Roger_Federer-Carlos_Berlocq,GP1,11,9,9,1,2,1,2,1,0
20120516-M-Rome_Masters-R32-Roger_Federer-Carlos_Berlocq,GP2,7,6,4,0,2,0,1,0,1
20120516-M-Rome_Masters-R32-Roger_Federer-Carlos_Berlocq,Deuce1,3,2,2,0,0,0,2,0,0
20120516-M-Rome_Masters-R32-Roger_Federer-Carlos_Berlocq,Deuce2,3,2,3,0,0,1,0,1,0
20120516-M-Rome_Masters-R32-Roger_Federer-Carlos_Berlocq,STotal1,19,15,12,1,2,2,5,1,0
20120516-M-Rome_Masters-R32-Roger_Federer-Carlos_Berlocq,STotal2,14,9,10,0,2,1,2,2,1
20120219-M-Rotterdam-F-Roger_Federer-Juan_Martin_Del_Potro,BP1,7,7,2,0,0,4,0,0,0
20120219-M-Rotterdam-F-Roger_Federer-Juan_Martin_Del_Potro,BP2,5,2,3,1,1,0,0,0,0
20120219-M-Rotterdam-F-Roger_Federer-Juan_Martin_Del_Potro,GP1,14,9,6,0,2,6,0,1,1
20120219-M-Rotterdam-F-Roger_Federer-Juan_Martin_Del_Potro,GP2,6,5,3,1,2,0,0,0,0
20120219-M-Rotterdam-F-Roger_Federer-Juan_Martin_Del_Potro,Deuce1,13,8,7,1,2,4,0,3,0
20120219-M-Rotterdam-F-Roger_Federer-Juan_Martin_Del_Potro,Deuce2,4,2,2,0,0,0,1,1,0
20120219-M-Rotterdam-F-Roger_Federer-Juan_Martin_Del_Potro,STotal1,34,24,15,1,4,14,0,4,1
20120219-M-Rotterdam-F-Roger_Federer-Juan_Martin_Del_Potro,STotal2,15,9,8,2,3,0,1,1,0
20121011-M-Shanghai_Masters-R16-Alexandr_Dolgopolov-Andy_Murray,BP1,6,1,3,0,1,0,0,4,0
20121011-M-Shanghai_Masters-R16-Alexandr_Dolgopolov-Andy_Murray,BP2,1,0,0,0,0,0,0,0,0
20121011-M-Shanghai_Masters-R16-Alexandr_Dolgopolov-Andy_Murray,GP1,6,3,4,1,1,1,0,2,1
20121011-M-Shanghai_Masters-R16-Alexandr_Dolgopolov-Andy_Murray,GP2,8,7,3,0,0,0,0,1,0
20121011-M-Shanghai_Masters-R16-Alexandr_Dolgopolov-Andy_Murray,Deuce1,7,1,3,0,0,0,0,5,0
20121011-M-Shanghai_Masters-R16-Alexandr_Dolgopolov-Andy_Murray,Deuce2,3,2,3,1,0,0,1,0,0
20121011-M-Shanghai_Masters-R16-Alexandr_Dolgopolov-Andy_Murray,STotal1,19,5,10,1,2,1,0,11,1
20121011-M-Shanghai_Masters-R16-Alexandr_Dolgopolov-Andy_Murray,STotal2,12,9,6,1,0,0,1,1,0
20120706-M-Wimbledon-SF-Roger_Federer-Novak_Djokovic,BP1,3,2,1,0,1,0,0,0,0
20120706-M-Wimbledon-SF-Roger_Federer-Novak_Djokovic,BP2,11,8,9,0,1,2,3,2,0
20120706-M-Wimbledon-SF-Roger_Federer-Novak_Djokovic,GP1,23,18,17,3,9,3,1,2,0
20120706-M-Wimbledon-SF-Roger_Federer-Novak_Djokovic,GP2,25,15,13,4,3,2,3,5,0
