match_id,player,row,shots,pt_ending,winners,induced_forced,unforced,serve_return,shots_in_pts_won,shots_in_pts_lost
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,Y,1,0,0,0,0,0,1,0
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,L,4,0,0,0,0,1,1,3
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,M,6,0,0,0,0,2,3,3
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,V,10,6,6,0,0,0,8,2
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,Z,5,3,2,0,1,0,2,3
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,P,1,0,0,0,0,0,0,1
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,H,1,1,1,0,0,0,1,0
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,1,J,1,0,0,0,0,0,0,1
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,Total,421,112,44,20,48,78,233,188
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,Fside,190,61,27,13,21,36,110,80
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,Bside,226,48,16,7,25,42,121,105
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,Fgs,170,48,18,11,19,36,95,75
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,Bgs,201,37,9,6,22,41,105,96
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,Base,384,88,30,17,41,78,210,174
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,Net,32,21,13,3,5,0,21,11
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,Gs,341,78,23,15,40,64,184,157
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,Dr,7,2,2,0,0,1,5,2
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,Lo,6,1,1,0,0,0,5,1
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,Vo,25,17,9,3,5,0,16,9
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,Hv,4,1,1,0,0,0,2,2
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,Sw,3,3,3,0,0,0,3,0
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,F,157,46,16,11,19,27,87,70
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,B,184,32,7,4,21,37,97,87
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,R,13,2,2,0,0,9,8,5
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,S,17,5,2,2,1,4,8,9
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,U,1,1,1,0,0,0,1,0
