match_id,row,pts,pts_won,rally_winners,rally_forced,unforced
20140115-W-Australian_Open-R64-Sabine_Lisicki-Monica_Niculescu,BPO1,6,5,2,0,1
20140115-W-Australian_Open-R64-Sabine_Lisicki-Monica_Niculescu,BPO2,14,7,1,1,0
20140115-W-Australian_Open-R64-Sabine_Lisicki-Monica_Niculescu,GPF1,17,10,5,1,6
20140115-W-Australian_Open-R64-Sabine_Lisicki-Monica_Niculescu,GPF2,10,5,0,0,1
20140115-W-Australian_Open-R64-Sabine_Lisicki-Monica_Niculescu,DeuceR1,13,2,0,1,10
20140115-W-Australian_Open-R64-Sabine_Lisicki-Monica_Niculescu,DeuceR2,10,4,1,0,0
20140115-W-Australian_Open-R64-Sabine_Lisicki-Monica_Niculescu,RTotal1,36,17,7,2,17
20140115-W-Australian_Open-R64-Sabine_Lisicki-Monica_Niculescu,RTotal2,34,16,2,1,1
20140117-W-Australian_Open-R32-Serena_Williams-Daniela_Hantuchova,BPO1,7,4,1,1,3
20140117-W-Australian_Open-R32-Serena_Williams-Daniela_Hantuchova,BPO2,6,1,1,0,0
20140117-W-Australian_Open-R32-Serena_Williams-Daniela_Hantuchova,GPF1,10,5,3,1,2
20140117-W-Australian_Open-R32-Serena_Williams-Daniela_Hantuchova,GPF2,8,0,0,0,2
20140117-W-Australian_Open-R32-Serena_Williams-Daniela_Hantuchova,DeuceR1,2,2,0,0,0
20140117-W-Australian_Open-R32-Serena_Williams-Daniela_Hantuchova,DeuceR2,7,1,1,0,3
20140117-W-Australian_Open-R32-Serena_Williams-Daniela_Hantuchova,RTotal1,19,11,4,2,5
20140117-W-Australian_Open-R32-Serena_Williams-Daniela_Hantuchova,RTotal2,21,2,2,0,5
20140118-W-Australian_Open-R32-Elina_Svitolina-Sloane_Stephens,BPO1,3,2,1,0,1
20140118-W-Australian_Open-R32-Elina_Svitolina-Sloane_Stephens,BPO2,9,4,2,2,2
20140118-W-Australian_Open-R32-Elina_Svitolina-Sloane_Stephens,GPF1,16,7,2,0,2
20140118-W-Australian_Open-R32-Elina_Svitolina-Sloane_Stephens,GPF2,9,2,0,0,2
20140118-W-Australian_Open-R32-Elina_Svitolina-Sloane_Stephens,DeuceR1,5,1,1,0,1
20140118-W-Australian_Open-R32-Elina_Svitolina-Sloane_Stephens,DeuceR2,6,4,1,2,1
20140118-W-Australian_Open-R32-Elina_Svitolina-Sloane_Stephens,RTotal1,24,10,4,0,4
20140118-W-Australian_Open-R32-Elina_Svitolina-Sloane_Stephens,RTotal2,24,10,3,4,5
20140113-W-Australian_Open-R128-Venus_Williams-Ekaterina_Makarova,BPO1,13,5,1,1,5
20140113-W-Australian_Open-R128-Venus_Williams-Ekaterina_Makarova,BPO2,11,5,1,2,1
20140113-W-Australian_Open-R128-Venus_Williams-Ekaterina_Makarova,GPF1,21,12,4,4,5
20140113-W-Australian_Open-R128-Venus_Williams-Ekaterina_Makarova,GPF2,14,5,1,2,1
