match_id,player,row,shots,pt_ending,winners,induced_forced,unforced,shots_in_pts_won,shots_in_pts_lost
20140119-W-Australian_Open-R16-Serena_Williams-Ana_Ivanovic,1,F-DTL,3,2,0,0,2,0,3
20140119-W-Australian_Open-R16-Serena_Williams-Ana_Ivanovic,1,F-IO,10,2,1,0,1,6,4
20140119-W-Australian_Open-R16-Serena_Williams-Ana_Ivanovic,1,B-XC,48,10,1,3,6,19,29
20140119-W-Australian_Open-R16-Serena_Williams-Ana_Ivanovic,1,B-DTM,43,6,0,0,6,13,30
20140119-W-Australian_Open-R16-Serena_Williams-Ana_Ivanovic,1,B-DTL,6,2,0,1,1,1,5
20140119-W-Australian_Open-R16-Serena_Williams-Ana_Ivanovic,1,B-IO,9,3,1,1,1,3,6
20140119-W-Australian_Open-R16-Serena_Williams-Ana_Ivanovic,1,S-DTM,3,0,0,0,0,0,3
20140119-W-Australian_Open-R16-Serena_Williams-Ana_Ivanovic,2,F-XC,21,13,5,1,7,14,7
20140119-W-Australian_Open-R16-Serena_Williams-Ana_Ivanovic,2,F-DTM,14,1,0,1,0,13,1
20140119-W-Australian_Open-R16-Serena_Williams-Ana_Ivanovic,2,F-DTL,14,6,4,1,1,12,2
20140119-W-Australian_Open-R16-Serena_Williams-Ana_Ivanovic,2,F-IO,28,12,5,3,4,22,6
20140119-W-Australian_Open-R16-Serena_Williams-Ana_Ivanovic,2,F-II,2,2,0,1,1,1,1
20140119-W-Australian_Open-R16-Serena_Williams-Ana_Ivanovic,2,B-XC,18,4,0,0,4,7,11
20140119-W-Australian_Open-R16-Serena_Williams-Ana_Ivanovic,2,B-DTM,34,2,0,1,1,20,14
20140119-W-Australian_Open-R16-Serena_Williams-Ana_Ivanovic,2,B-DTL,4,4,1,1,2,2,2
20140119-W-Australian_Open-R16-Serena_Williams-Ana_Ivanovic,2,B-IO,2,0,0,0,0,1,1
20140119-W-Australian_Open-R16-Serena_Williams-Ana_Ivanovic,2,S-XC,5,0,0,0,0,2,3
20140119-W-Australian_Open-R16-Serena_Williams-Ana_Ivanovic,2,S-DTM,12,0,0,0,0,8,4
20140119-W-Australian_Open-R16-Serena_Williams-Ana_Ivanovic,2,S-DTL,2,0,0,0,0,1,1
20140119-W-Australian_Open-R16-Serena_Williams-Ana_Ivanovic,2,S-IO,1,0,0,0,0,1,0
20140113-W-Australian_Open-R128-Kimiko_Date_Krumm-Belinda_Bencic,1,F-XC,35,8,2,0,6,15,20
20140113-W-Australian_Open-R128-Kimiko_Date_Krumm-Belinda_Bencic,1,F-DTM,70,11,0,0,11,34,36
20140113-W-Australian_Open-R128-Kimiko_Date_Krumm-Belinda_Bencic,1,F-DTL,16,9,2,1,6,9,7
20140113-W-Australian_Open-R128-Kimiko_Date_Krumm-Belinda_Bencic,1,F-IO,28,10,3,3,4,14,14
20140113-W-Australian_Open-R128-Kimiko_Date_Krumm-Belinda_Bencic,1,F-II,1,1,1,0,0,1,0
20140113-W-Australian_Open-R128-Kimiko_Date_Krumm-Belinda_Bencic,1,B-XC,48,11,3,2,6,19,29
20140113-W-Australian_Open-R128-Kimiko_Date_Krumm-Belinda_Bencic,1,B-DTM,62,2,0,0,2,29,33
20140113-W-Australian_Open-R128-Kimiko_Date_Krumm-Belinda_Bencic,1,B-DTL,9,5,1,1,3,4,5
20140113-W-Australian_Open-R128-Kimiko_Date_Krumm-Belinda_Bencic,1,B-IO,8,3,1,1,1,3,5
20140113-W-Australian_Open-R128-Kimiko_Date_Krumm-Belinda_Bencic,1,S-XC,9,2,0,0,2,5,4
20140113-W-Australian_Open-R128-Kimiko_Date_Krumm-Belinda_Bencic,1,S-DTM,15,1,0,0,1,7,8
20140113-W-Australian_Open-R128-Kimiko_Date_Krumm-Belinda_Bencic,1,S-DTL,1,0,0,0,0,1,0
20140113-W-Australian_Open-R128-Kimiko_Date_Krumm-Belinda_Bencic,2,F-XC,32,5,1,1,3,15,17
20140113-W-Australian_Open-R128-Kimiko_Date_Krumm-Belinda_Bencic,2,F-DTM,48,4,0,0,4,28,20
20140113-W-Australian_Open-R128-Kimiko_Date_Krumm-Belinda_Bencic,2,F-DTL,7,2,0,1,1,2,5
20140113-W-Australian_Open-R128-Kimiko_Date_Krumm-Belinda_Bencic,2,F-IO,32,10,3,2,5,13,19
20140113-W-Australian_Open-R128-Kimiko_Date_Krumm-Belinda_Bencic,2,B-XC,48,11,2,2,7,23,25
20140113-W-Australian_Open-R128-Kimiko_Date_Krumm-Belinda_Bencic,2,B-DTM,86,11,1,0,10,43,43
20140113-W-Australian_Open-R128-Kimiko_Date_Krumm-Belinda_Bencic,2,B-DTL,8,4,3,0,1,5,3
20140113-W-Australian_Open-R128-Kimiko_Date_Krumm-Belinda_Bencic,2,B-IO,18,7,1,0,6,9,9
20140113-W-Australian_Open-R128-Kimiko_Date_Krumm-Belinda_Bencic,2,S-XC,2,0,0,0,0,0,2
20140113-W-Australian_Open-R128-Kimiko_Date_Krumm-Belinda_Bencic,2,S-DTM,3,0,0,0,0,1,2
20140118-W-Australian_Open-R32-Caroline_Wozniacki-Garbine_Muguruza,1,F-XC,53,3,1,1,1,32,21
20140118-W-Australian_Open-R32-Caroline_Wozniacki-Garbine_Muguruza,1,F-DTM,100,8,0,1,7,28,72
20140118-W-Australian_Open-R32-Caroline_Wozniacki-Garbine_Muguruza,1,F-DTL,18,4,1,0,3,8,10
20140118-W-Australian_Open-R32-Caroline_Wozniacki-Garbine_Muguruza,1,F-IO,31,9,2,1,6,17,14
20140118-W-Australian_Open-R32-Caroline_Wozniacki-Garbine_Muguruza,1,B-XC,48,8,6,0,2,24,24
20140118-W-Australian_Open-R32-Caroline_Wozniacki-Garbine_Muguruza,1,B-DTM,53,6,1,0,5,21,32
20140118-W-Australian_Open-R32-Caroline_Wozniacki-Garbine_Muguruza,1,B-DTL,12,4,1,1,2,8,4
20140118-W-Australian_Open-R32-Caroline_Wozniacki-Garbine_Muguruza,1,B-IO,26,7,1,0,6,10,16
20140118-W-Australian_Open-R32-Caroline_Wozniacki-Garbine_Muguruza,1,S-XC,1,0,0,0,0,1,0
20140118-W-Australian_Open-R32-Caroline_Wozniacki-Garbine_Muguruza,1,S-DTM,6,1,0,0,1,2,4
