match_id,player,row,net_pts,pts_won,net_winner,induced_forced,net_unforced,passed_at_net,passing_shot_induced_forced,total_shots
20120313-M-Indian_Wells_Masters-R32-Ryan_Harrison-Guillermo_Garcia_Lopez,1,NetPoints,14,11,7,2,0,3,0,71
20120313-M-Indian_Wells_Masters-R32-Ryan_Harrison-Guillermo_Garcia_Lopez,1,Approach,9,7,4,1,0,2,0,43
20120313-M-Indian_Wells_Masters-R32-Ryan_Harrison-Guillermo_Garcia_Lopez,1,NetPointsRallies,11,8,6,1,0,3,0,64
20120313-M-Indian_Wells_Masters-R32-Ryan_Harrison-Guillermo_Garcia_Lopez,1,ApproachRallies,6,4,3,0,0,2,0,36
20120313-M-Indian_Wells_Masters-R32-Ryan_Harrison-Guillermo_Garcia_Lopez,2,NetPoints,29,19,10,6,4,3,2,253
20120313-M-Indian_Wells_Masters-R32-Ryan_Harrison-Guillermo_Garcia_Lopez,2,Approach,22,14,8,4,2,3,2,190
20120313-M-Indian_Wells_Masters-R32-Ryan_Harrison-Guillermo_Garcia_Lopez,2,NetPointsRallies,29,19,10,6,4,3,2,253
20120313-M-Indian_Wells_Masters-R32-Ryan_Harrison-Guillermo_Garcia_Lopez,2,ApproachRallies,22,14,8,4,2,3,2,190
20120510-M-Madrid-R16-Roger_Federer-Richard_Gasquet,1,NetPoints,11,6,6,0,4,1,0,51
20120510-M-Madrid-R16-Roger_Federer-Richard_Gasquet,1,NetPointsRallies,11,6,6,0,4,1,0,51
20120510-M-Madrid-R16-Roger_Federer-Richard_Gasquet,2,NetPoints,4,2,0,2,0,0,0,18
20120510-M-Madrid-R16-Roger_Federer-Richard_Gasquet,2,Approach,3,1,0,1,0,0,0,13
20120510-M-Madrid-R16-Roger_Federer-Richard_Gasquet,2,NetPointsRallies,4,2,0,2,0,0,0,18
20120510-M-Madrid-R16-Roger_Federer-Richard_Gasquet,2,ApproachRallies,3,1,0,1,0,0,0,13
20120505-M-Munich-F-Marin_Cilic-Philipp_Kohlschreiber,1,NetPoints,12,7,5,2,3,2,0,70
20120505-M-Munich-F-Marin_Cilic-Philipp_Kohlschreiber,1,Approach,4,2,2,0,1,1,0,19
20120505-M-Munich-F-Marin_Cilic-Philipp_Kohlschreiber,1,NetPointsRallies,12,7,5,2,3,2,0,70
