match_id,row,deuce_wide,deuce_middle,deuce_t,ad_wide,ad_middle,ad_t,err_net,err_wide,err_deep,err_wide_deep,err_foot,err_unknown
20120510-M-Madrid-R16-Roger_Federer-Richard_Gasquet,2 2,1,0,9,5,1,0,3,9,7,0,0,0
20120505-M-Munich-F-Marin_Cilic-Philipp_Kohlschreiber,1 Total,8,8,19,17,9,6,12,16,15,1,0,0
20120505-M-Munich-F-Marin_Cilic-Philipp_Kohlschreiber,1 1,6,0,8,5,2,4,0,0,0,0,0,0
20120505-M-Munich-F-Marin_Cilic-Philipp_Kohlschreiber,1 2,2,8,11,12,7,2,12,16,15,1,0,0
20120505-M-Munich-F-Marin_Cilic-Philipp_Kohlschreiber,2 Total,13,12,17,19,9,12,7,5,9,1,0,0
20120505-M-Munich-F-Marin_Cilic-Philipp_Kohlschreiber,2 1,9,3,16,18,4,12,0,0,0,0,0,0
20120505-M-Munich-F-Marin_Cilic-Philipp_Kohlschreiber,2 2,4,9,1,1,5,0,7,5,9,1,0,0
20121102-M-Paris_Masters-QF-Janko_Tipsarevic-Jerzy_Janowicz,1 Total,6,22,12,5,25,7,20,5,15,1,0,0
20121102-M-Paris_Masters-QF-Janko_Tipsarevic-Jerzy_Janowicz,1 1,6,8,10,2,9,4,0,0,0,0,0,0
20121102-M-Paris_Masters-QF-Janko_Tipsarevic-Jerzy_Janowicz,1 2,0,14,2,3,16,3,20,5,15,1,0,0
20121102-M-Paris_Masters-QF-Janko_Tipsarevic-Jerzy_Janowicz,2 Total,14,7,12,5,15,10,19,5,8,0,0,0
20121102-M-Paris_Masters-QF-Janko_Tipsarevic-Jerzy_Janowicz,2 1,10,2,9,1,5,8,0,0,0,0,0,0
20121102-M-Paris_Masters-QF-Janko_Tipsarevic-Jerzy_Janowicz,2 2,4,5,3,4,10,2,19,5,8,0,0,0
20121031-M-Paris_Masters-R32-Sam_Querrey-Novak_Djokovic,1 Total,17,17,10,8,17,12,13,7,14,4,0,0
20121031-M-Paris_Masters-R32-Sam_Querrey-Novak_Djokovic,1 1,16,3,8,8,5,8,0,0,0,0,0,0
20121031-M-Paris_Masters-R32-Sam_Querrey-Novak_Djokovic,1 2,1,14,2,0,12,4,13,7,14,4,0,0
20121031-M-Paris_Masters-R32-Sam_Querrey-Novak_Djokovic,2 Total,18,21,7,15,15,12,15,9,12,1,1,0
20121031-M-Paris_Masters-R32-Sam_Querrey-Novak_Djokovic,2 1,14,8,3,12,7,9,0,0,0,0,0,0
20121031-M-Paris_Masters-R32-Sam_Querrey-Novak_Djokovic,2 2,4,13,4,3,8,3,15,9,12,1,1,0
20120516-M-Rome_Masters-R32-Roger_Federer-Carlos_Berlocq,1 Total,12,3,13,17,5,4,6,7,7,0,0,0
20120516-M-Rome_Masters-R32-Roger_Federer-Carlos_Berlocq,1 1,5,0,9,14,3,3,0,0,0,0,0,0
20120516-M-Rome_Masters-R32-Roger_Federer-Carlos_Berlocq,1 2,7,3,4,3,2,1,6,7,7,0,0,0
20120516-M-Rome_Masters-R32-Roger_Federer-Carlos_Berlocq,2 Total,1,18,5,15,5,1,7,1,8,1,0,0
20120516-M-Rome_Masters-R32-Roger_Federer-Carlos_Berlocq,2 1,1,13,3,13,1,1,0,0,0,0,0,0
20120516-M-Rome_Masters-R32-Roger_Federer-Carlos_Berlocq,2 2,0,5,2,2,4,0,7,1,8,1,0,0
20120219-M-Rotterdam-F-Roger_Federer-Juan_Martin_Del_Potro,1 Total,11,7,17,15,7,12,11,13,9,2,0,0
20120219-M-Rotterdam-F-Roger_Federer-Juan_Martin_Del_Potro,1 1,10,2,9,9,1,6,0,0,0,0,0,0
20120219-M-Rotterdam-F-Roger_Federer-Juan_Martin_Del_Potro,1 2,1,5,8,6,6,6,11,13,9,2,0,0
20120219-M-Rotterdam-F-Roger_Federer-Juan_Martin_Del_Potro,2 Total,2,2,21,9,5,7,8,3,5,2,0,0
20120219-M-Rotterdam-F-Roger_Federer-Juan_Martin_Del_Potro,2 1,2,1,13,5,2,6,0,0,0,0,0,0
20120219-M-Rotterdam-F-Roger_Federer-Juan_Martin_Del_Potro,2 2,0,1,8,4,3,1,8,3,5,2,0,0
20121011-M-Shanghai_Masters-R16-Alexandr_Dolgopolov-Andy_Murray,1 Total,9,11,4,9,6,9,11,5,10,1,0,0
20121011-M-Shanghai_Masters-R16-Alexandr_Dolgopolov-Andy_Murray,1 1,9,1,1,6,0,8,0,0,0,0,0,0
20121011-M-Shanghai_Masters-R16-Alexandr_Dolgopolov-Andy_Murray,1 2,0,10,3,3,6,1,11,5,10,1,0,0
20121011-M-Shanghai_Masters-R16-Alexandr_Dolgopolov-Andy_Murray,2 Total,12,6,3,4,7,8,6,1,4,1,0,0
20121011-M-Shanghai_Masters-R16-Alexandr_Dolgopolov-Andy_Murray,2 1,11,2,2,3,2,8,0,0,0,0,0,0
20121011-M-Shanghai_Masters-R16-Alexandr_Dolgopolov-Andy_Murray,2 2,1,4,1,1,5,0,6,1,4,1,0,0
20120706-M-Wimbledon-SF-Roger_Federer-Novak_Djokovic,1 Total,22,13,20,16,11,19,10,15,10,1,0,0
20120706-M-Wimbledon-SF-Roger_Federer-Novak_Djokovic,1 1,16,4,17,11,5,12,0,0,0,0,0,0
20120706-M-Wimbledon-SF-Roger_Federer-Novak_Djokovic,1 2,6,9,3,5,6,7,10,15,10,1,0,0
20120706-M-Wimbledon-SF-Roger_Federer-Novak_Djokovic,2 Total,21,17,21,22,16,17,21,12,8,2,0,0
20120706-M-Wimbledon-SF-Roger_Federer-Novak_Djokovic,2 1,15,9,15,19,2,14,0,0,0,0,0,0
20120706-M-Wimbledon-SF-Roger_Federer-Novak_Djokovic,2 2,6,8,6,3,14,3,21,12,8,2,0,0
19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,1 Total,18,36,40,42,23,21,39,5,20,8,0,0
19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,1 1,17,14,25,28,8,19,0,0,0,0,0,0
19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,1 2,1,22,15,14,15,2,39,5,20,8,0,0
19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,2 Total,39,42,19,9,40,46,46,11,23,4,0,0
19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,2 1,36,3,17,9,7,46,0,0,0,0,0,0
19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,2 2,3,39,2,0,33,0,46,11,23,4,0,0
20140114-M-Australian_Open-R128-Nick_Kyrgios-Benjamin_Becker,1 Total,19,22,20,20,15,21,28,11,24,4,0,0
20140114-M-Australian_Open-R128-Nick_Kyrgios-Benjamin_Becker,1 1,12,5,12,13,7,13,0,0,0,0,0,0
20140114-M-Australian_Open-R128-Nick_Kyrgios-Benjamin_Becker,1 2,7,17,8,7,8,8,28,11,24,4,0,0
20140114-M-Australian_Open-R128-Nick_Kyrgios-Benjamin_Becker,2 Total,6,31,25,17,25,14,34,5,23,0,0,0
20140114-M-Australian_Open-R128-Nick_Kyrgios-Benjamin_Becker,2 1,6,9,18,5,12,11,0,0,0,0,0,0
20140114-M-Australian_Open-R128-Nick_Kyrgios-Benjamin_Becker,2 2,0,22,7,12,13,3,34,5,23,0,0,0
20140124-M-Australian_Open-SF-Roger_Federer-Rafael_Nadal,1 Total,28,12,15,12,10,28,14,7,12,3,0,0
20140124-M-Australian_Open-SF-Roger_Federer-Rafael_Nadal,1 1,23,6,12,9,7,13,0,0,0,0,0,0
20140124-M-Australian_Open-SF-Roger_Federer-Rafael_Nadal,1 2,5,6,3,3,3,15,14,7,12,3,0,0
20140124-M-Australian_Open-SF-Roger_Federer-Rafael_Nadal,2 Total,0,15,29,25,14,3,15,6,8,2,0,0
20140124-M-Australian_Open-SF-Roger_Federer-Rafael_Nadal,2 1,0,5,23,16,9,3,0,0,0,0,0,0
20140124-M-Australian_Open-SF-Roger_Federer-Rafael_Nadal,2 2,0,10,6,9,5,0,15,6,8,2,0,0
20130121-M-Australian_Open-R16-Roger_Federer-Milos_Raonic,1 Total,13,18,11,14,10,12,11,5,9,4,0,0
20130121-M-Australian_Open-R16-Roger_Federer-Milos_Raonic,1 1,11,8,11,9,1,10,0,0,0,0,0,0
20130121-M-Australian_Open-R16-Roger_Federer-Milos_Raonic,1 2,2,10,0,5,9,2,11,5,9,4,0,0
20130121-M-Australian_Open-R16-Roger_Federer-Milos_Raonic,2 Total,19,16,16,15,15,15,11,9,16,2,0,0
20130121-M-Australian_Open-R16-Roger_Federer-Milos_Raonic,2 1,14,6,13,10,9,11,0,0,0,0,0,0
20130121-M-Australian_Open-R16-Roger_Federer-Milos_Raonic,2 2,5,10,3,5,6,4,11,9,16,2,0,0
20140122-M-Australian_Open-QF-Grigor_Dimitrov-Rafael_Nadal,1 Total,23,31,23,20,30,26,27,9,26,6,0,0
20140122-M-Australian_Open-QF-Grigor_Dimitrov-Rafael_Nadal,1 1,16,10,21,13,8,22,0,0,0,0,0,0
20140122-M-Australian_Open-QF-Grigor_Dimitrov-Rafael_Nadal,1 2,7,21,2,7,22,4,27,9,26,6,0,0
20140122-M-Australian_Open-QF-Grigor_Dimitrov-Rafael_Nadal,2 Total,3,28,33,33,23,4,19,5,13,2,0,0
20140122-M-Australian_Open-QF-Grigor_Dimitrov-Rafael_Nadal,2 1,3,17,26,29,13,4,0,0,0,0,0,0
20140122-M-Australian_Open-QF-Grigor_Dimitrov-Rafael_Nadal,2 2,0,11,7,4,10,0,19,5,13,2,0,0
20140118-M-Australian_Open-R32-Gael_Monfils-Rafael_Nadal,1 Total,18,12,20,16,14,18,11,7,14,2,0,1
20140118-M-Australian_Open-R32-Gael_Monfils-Rafael_Nadal,1 1,12,7,15,15,5,14,0,0,0,0,0,0
20140118-M-Australian_Open-R32-Gael_Monfils-Rafael_Nadal,1 2,6,5,5,1,9,4,11,7,14,2,0,1
20140118-M-Australian_Open-R32-Gael_Monfils-Rafael_Nadal,2 Total,10,16,15,16,16,6,11,9,4,2,0,0
20140118-M-Australian_Open-R32-Gael_Monfils-Rafael_Nadal,2 1,7,4,15,14,9,4,0,0,0,0,0,0
20140118-M-Australian_Open-R32-Gael_Monfils-Rafael_Nadal,2 2,3,12,0,2,7,2,11,9,4,2,0,0
