match_id,player,row,crosscourt,down_middle,down_the_line,inside_out,inside_in
20240927-M-Beijing-R32-Giovanni_Mpetshi_Perricard-Carlos_Alcaraz,Giovanni Mpetshi Perricard,S,6,4,0,0,0
20240927-M-Beijing-R32-Giovanni_Mpetshi_Perricard-Carlos_Alcaraz,Carlos Alcaraz,Total,23,13,6,26,4
20240927-M-Beijing-R32-Giovanni_Mpetshi_Perricard-Carlos_Alcaraz,Carlos Alcaraz,F,12,9,2,26,4
20240927-M-Beijing-R32-Giovanni_Mpetshi_Perricard-Carlos_Alcaraz,Carlos Alcaraz,B,11,3,3,0,0
20240927-M-Beijing-R32-Giovanni_Mpetshi_Perricard-Carlos_Alcaraz,Carlos Alcaraz,S,0,1,1,0,0
20240927-M-Beijing-R32-Gael_Monfils-Daniil_Medvedev,Gael Monfils,Total,122,45,58,35,7
20240927-M-Beijing-R32-Gael_Monfils-Daniil_Medvedev,Gael Monfils,F,39,13,20,26,7
20240927-M-Beijing-R32-Gael_Monfils-Daniil_Medvedev,Gael Monfils,B,71,24,25,7,0
20240927-M-Beijing-R32-Gael_Monfils-Daniil_Medvedev,Gael Monfils,S,12,8,13,2,0
20240927-M-Beijing-R32-Gael_Monfils-Daniil_Medvedev,Daniil Medvedev,Total,147,47,49,19,0
20240927-M-Beijing-R32-Gael_Monfils-Daniil_Medvedev,Daniil Medvedev,F,46,17,30,13,0
20240927-M-Beijing-R32-Gael_Monfils-Daniil_Medvedev,Daniil Medvedev,B,97,26,18,6,0
20240927-M-Beijing-R32-Gael_Monfils-Daniil_Medvedev,Daniil Medvedev,S,4,4,1,0,0
20240927-M-Beijing-R32-Andrey_Rublev-Pablo_Carreno_Busta,Andrey Rublev,Total,71,30,18,30,3
20240927-M-Beijing-R32-Andrey_Rublev-Pablo_Carreno_Busta,Andrey Rublev,F,39,9,7,27,3
20240927-M-Beijing-R32-Andrey_Rublev-Pablo_Carreno_Busta,Andrey Rublev,B,30,18,11,3,0
20240927-M-Beijing-R32-Andrey_Rublev-Pablo_Carreno_Busta,Andrey Rublev,S,2,3,0,0,0
20240927-M-Beijing-R32-Andrey_Rublev-Pablo_Carreno_Busta,Pablo Carreno Busta,Total,73,35,15,16,1
20240927-M-Beijing-R32-Andrey_Rublev-Pablo_Carreno_Busta,Pablo Carreno Busta,F,35,7,11,15,1
20240927-M-Beijing-R32-Andrey_Rublev-Pablo_Carreno_Busta,Pablo Carreno Busta,B,33,23,4,1,0
20240927-M-Beijing-R32-Andrey_Rublev-Pablo_Carreno_Busta,Pablo Carreno Busta,S,5,5,0,0,0
20240926-M-Tokyo-R32-Alex_Michelsen-Stefanos_Tsitsipas,Alex Michelsen,Total,53,26,29,17,3
20240926-M-Tokyo-R32-Alex_Michelsen-Stefanos_Tsitsipas,Alex Michelsen,F,19,14,14,12,3
20240926-M-Tokyo-R32-Alex_Michelsen-Stefanos_Tsitsipas,Alex Michelsen,B,31,10,14,5,0
20240926-M-Tokyo-R32-Alex_Michelsen-Stefanos_Tsitsipas,Alex Michelsen,S,3,2,1,0,0
20240926-M-Tokyo-R32-Alex_Michelsen-Stefanos_Tsitsipas,Stefanos Tsitsipas,Total,59,37,17,16,2
20240926-M-Tokyo-R32-Alex_Michelsen-Stefanos_Tsitsipas,Stefanos Tsitsipas,F,20,14,7,13,2
20240926-M-Tokyo-R32-Alex_Michelsen-Stefanos_Tsitsipas,Stefanos Tsitsipas,B,23,20,7,2,0
20240926-M-Tokyo-R32-Alex_Michelsen-Stefanos_Tsitsipas,Stefanos Tsitsipas,S,16,3,3,1,0
20240926-M-Beijing-R32-Jannik_Sinner-Nicolas_Jarry,Jannik Sinner,Total,49,35,14,9,6
20240926-M-Beijing-R32-Jannik_Sinner-Nicolas_Jarry,Jannik Sinner,F,18,11,5,8,5
20240926-M-Beijing-R32-Jannik_Sinner-Nicolas_Jarry,Jannik Sinner,B,29,22,9,1,1
20240926-M-Beijing-R32-Jannik_Sinner-Nicolas_Jarry,Jannik Sinner,S,2,2,0,0,0
20240926-M-Beijing-R32-Jannik_Sinner-Nicolas_Jarry,Nicolas Jarry,Total,53,22,12,26,3
20240926-M-Beijing-R32-Jannik_Sinner-Nicolas_Jarry,Nicolas Jarry,F,19,18,7,25,3
