match_id,player,row,pts,pts_won,returnable,returnable_won,in_play,in_play_won,winners,total_shots
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,bh,50,22,41,22,39,22,2,202
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,gs,74,38,64,38,61,38,4,326
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,sl,18,5,13,5,13,5,0,81
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,D,58,22,43,22,40,22,0,238
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,A,52,21,35,21,35,21,4,189
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,4,14,2,7,2,7,2,0,42
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,5,53,27,47,27,46,27,3,258
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,6,39,12,20,12,18,12,1,105
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,4D,9,1,5,1,5,1,0,30
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,4A,5,1,2,1,2,1,0,12
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,5D,25,12,22,12,21,12,0,135
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,5A,28,15,25,15,25,15,3,123
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,6D,20,7,12,7,10,7,0,51
20110614-W-Wimbledon-R64-Venus_Williams-Kimiko_Date_Krumm,2,6A,19,5,8,5,8,5,1,54
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,Total,47,28,37,25,37,25,0,248
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,v1st,30,14,23,14,23,14,0,156
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,v2nd,14,11,14,11,14,11,0,89
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,7,3,1,3,1,3,1,0,32
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,89,33,23,33,23,33,23,0,202
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,9,19,14,19,14,19,14,0,111
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,fh,18,9,16,9,16,9,0,109
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,bh,20,15,20,15,20,15,0,127
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,gs,38,24,36,24,36,24,0,236
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,D,25,14,21,14,21,14,0,127
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,A,19,11,16,11,16,11,0,118
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,4,9,4,6,4,6,4,0,37
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,5,8,3,8,3,8,3,0,63
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,6,27,18,23,18,23,18,0,145
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,4D,8,3,5,3,5,3,0,29
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,4A,1,1,1,1,1,1,0,8
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,5D,3,1,3,1,3,1,0,18
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,5A,5,2,5,2,5,2,0,45
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,6D,14,10,13,10,13,10,0,80
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,1,6A,13,8,10,8,10,8,0,65
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,Total,52,19,39,15,39,15,2,245
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,v1st,37,12,30,12,30,12,2,193
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,v2nd,11,3,9,3,9,3,0,48
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,7,3,1,3,1,3,1,0,10
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,89,36,14,36,14,36,14,2,222
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,9,26,12,26,12,26,12,2,164
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,fh,19,6,15,6,15,6,1,87
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,bh,27,9,24,9,24,9,1,152
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,gs,46,15,39,15,39,15,2,239
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,D,24,11,19,11,19,11,2,97
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,A,24,4,20,4,20,4,0,144
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,4,18,3,14,3,14,3,0,87
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,5,16,6,13,6,13,6,1,86
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,6,14,6,12,6,12,6,1,68
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,4D,4,1,3,1,3,1,0,17
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,4A,14,2,11,2,11,2,0,70
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,5D,12,5,9,5,9,5,1,51
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,5A,4,1,4,1,4,1,0,35
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,6D,8,5,7,5,7,5,1,29
20120128-W-Australian_Open-F-Victoria_Azarenka-Maria_Sharapova,2,6A,6,1,5,1,5,1,0,39
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,Total,59,22,41,18,40,18,2,227
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,v1st,43,14,33,14,33,14,1,179
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,v2nd,12,4,8,4,7,4,1,44
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,7,3,2,3,2,3,2,1,25
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,89,37,16,37,16,37,16,1,183
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,9,15,9,15,9,15,9,1,60
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,fh,29,11,22,11,21,11,2,106
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,bh,22,7,19,7,19,7,0,113
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,gs,50,18,40,18,39,18,2,216
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,sl,1,0,1,0,1,0,0,3
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,D,30,7,22,7,21,7,1,133
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,A,25,11,19,11,19,11,1,90
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,4,10,2,7,2,7,2,1,40
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,5,21,8,15,8,14,8,1,75
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,6,24,8,19,8,19,8,0,108
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,4D,7,2,5,2,5,2,1,25
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,4A,3,0,2,0,2,0,0,15
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,5D,8,1,5,1,4,1,0,31
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,5A,13,7,10,7,10,7,1,44
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,6D,15,4,12,4,12,4,0,77
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,1,6A,9,4,7,4,7,4,0,31
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,2,Total,56,30,42,23,42,23,0,249
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,2,v1st,37,16,31,16,31,16,0,185
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,2,v2nd,12,7,11,7,11,7,0,57
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,2,89,42,23,42,23,42,23,0,235
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,2,9,11,6,11,6,11,6,0,75
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,2,fh,21,11,18,11,18,11,0,84
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,2,bh,25,12,24,12,24,12,0,155
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,2,gs,43,23,40,23,40,23,0,226
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,2,sl,3,0,2,0,2,0,0,13
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,2,D,27,12,21,12,21,12,0,119
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,2,A,22,11,21,11,21,11,0,123
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,2,4,15,6,10,6,10,6,0,51
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,2,5,5,3,5,3,5,3,0,32
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,2,6,29,14,27,14,27,14,0,159
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,2,4D,8,3,4,3,4,3,0,19
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,2,4A,7,3,6,3,6,3,0,32
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,2,5D,5,3,5,3,5,3,0,32
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,2,6D,14,6,12,6,12,6,0,68
20121007-W-Beijing-F-Maria_Sharapova-Victoria_Azarenka,2,6A,15,8,15,8,15,8,0,91
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,1,Total,66,30,56,27,54,27,1,395
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,1,v1st,46,17,40,17,39,17,1,317
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,1,v2nd,17,10,16,10,15,10,0,75
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,1,7,12,8,12,8,12,8,1,76
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,1,89,42,19,42,19,42,19,0,307
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,1,9,21,10,21,10,21,10,0,165
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,1,fh,19,12,19,12,19,12,0,129
