match_id,player,row,pts,pts_won,aces,unret,forced_err,pts_won_lte_3_shots,wide,body,t
20250529-M-Roland_Garros-R64-Tallon_Griekspoor-Gabriel_Diallo,Tallon Griekspoor,Total,132,80,12,0,21,58,38,34,60
20250529-M-Roland_Garros-R64-Tallon_Griekspoor-Gabriel_Diallo,Tallon Griekspoor,1,73,50,10,0,19,35,28,9,36
20250529-M-Roland_Garros-R64-Tallon_Griekspoor-Gabriel_Diallo,Tallon Griekspoor,2,59,30,2,0,2,23,10,25,24
20250529-M-Roland_Garros-R64-Tallon_Griekspoor-Gabriel_Diallo,Gabriel Diallo,Total,115,70,12,1,15,46,50,34,31
20250529-M-Roland_Garros-R64-Tallon_Griekspoor-Gabriel_Diallo,Gabriel Diallo,1,71,49,11,1,15,35,35,16,20
20250529-M-Roland_Garros-R64-Tallon_Griekspoor-Gabriel_Diallo,Gabriel Diallo,2,44,21,1,0,0,11,15,18,11
20250529-M-Roland_Garros-R64-Alexander_Bublik-Alex_De_Minaur,Alexander Bublik,Total,130,80,12,3,13,42,31,34,65
20250529-M-Roland_Garros-R64-Alexander_Bublik-Alex_De_Minaur,Alexander Bublik,1,79,58,12,3,12,37,28,10,41
20250529-M-Roland_Garros-R64-Alexander_Bublik-Alex_De_Minaur,Alexander Bublik,2,51,22,0,0,1,5,3,24,24
20250529-M-Roland_Garros-R64-Alexander_Bublik-Alex_De_Minaur,Alex De Minaur,Total,128,80,4,1,11,42,24,75,29
20250529-M-Roland_Garros-R64-Alexander_Bublik-Alex_De_Minaur,Alex De Minaur,1,61,45,4,1,11,26,19,16,26
20250529-M-Roland_Garros-R64-Alexander_Bublik-Alex_De_Minaur,Alex De Minaur,2,67,35,0,0,0,16,5,59,3
20250527-M-Roland_Garros-R128-Novak_Djokovic-Mackenzie_Mcdonald,Novak Djokovic,Total,71,55,7,2,20,35,30,8,33
20250527-M-Roland_Garros-R128-Novak_Djokovic-Mackenzie_Mcdonald,Novak Djokovic,1,47,38,7,2,13,26,22,3,22
20250527-M-Roland_Garros-R128-Novak_Djokovic-Mackenzie_Mcdonald,Novak Djokovic,2,24,17,0,0,7,9,8,5,11
20250527-M-Roland_Garros-R128-Novak_Djokovic-Mackenzie_Mcdonald,Mackenzie Mcdonald,Total,79,44,6,0,14,22,45,10,24
20250527-M-Roland_Garros-R128-Novak_Djokovic-Mackenzie_Mcdonald,Mackenzie Mcdonald,1,52,31,6,0,12,20,27,4,21
20250527-M-Roland_Garros-R128-Novak_Djokovic-Mackenzie_Mcdonald,Mackenzie Mcdonald,2,27,13,0,0,2,2,18,6,3
20250527-M-Roland_Garros-R128-Hubert_Hurkacz-Joao_Fonseca,Hubert Hurkacz,Total,79,43,6,0,8,27,37,13,29
20250527-M-Roland_Garros-R128-Hubert_Hurkacz-Joao_Fonseca,Hubert Hurkacz,1,51,34,6,0,8,22,29,3,19
20250527-M-Roland_Garros-R128-Hubert_Hurkacz-Joao_Fonseca,Hubert Hurkacz,2,28,9,0,0,0,5,8,10,10
20250527-M-Roland_Garros-R128-Hubert_Hurkacz-Joao_Fonseca,Joao Fonseca,Total,71,54,9,0,10,26,31,7,33
20250527-M-Roland_Garros-R128-Hubert_Hurkacz-Joao_Fonseca,Joao Fonseca,1,51,40,8,0,10,22,20,3,28
20250527-M-Roland_Garros-R128-Hubert_Hurkacz-Joao_Fonseca,Joao Fonseca,2,20,14,1,0,0,4,11,4,5
20250526-M-Roland_Garros-R128-Taylor_Fritz-Daniel_Altmaier,Taylor Fritz,Total,106,67,15,2,7,32,53,14,39
20250526-M-Roland_Garros-R128-Taylor_Fritz-Daniel_Altmaier,Taylor Fritz,1,57,43,15,2,7,28,34,1,22
20250526-M-Roland_Garros-R128-Taylor_Fritz-Daniel_Altmaier,Taylor Fritz,2,49,24,0,0,0,4,19,13,17
20250526-M-Roland_Garros-R128-Taylor_Fritz-Daniel_Altmaier,Daniel Altmaier,Total,109,74,7,3,11,41,45,25,39
20250526-M-Roland_Garros-R128-Taylor_Fritz-Daniel_Altmaier,Daniel Altmaier,1,61,46,6,3,10,26,33,0,28
20250526-M-Roland_Garros-R128-Taylor_Fritz-Daniel_Altmaier,Daniel Altmaier,2,48,28,1,0,1,15,12,25,11
20250526-M-Roland_Garros-R128-Jannik_Sinner-Arthur_Rinderknech,Jannik Sinner,Total,87,64,4,0,10,29,38,10,39
20250526-M-Roland_Garros-R128-Jannik_Sinner-Arthur_Rinderknech,Jannik Sinner,1,58,44,3,0,10,21,32,3,23
20250526-M-Roland_Garros-R128-Jannik_Sinner-Arthur_Rinderknech,Jannik Sinner,2,29,20,1,0,0,8,6,7,16
20250526-M-Roland_Garros-R128-Jannik_Sinner-Arthur_Rinderknech,Arthur Rinderknech,Total,88,52,9,0,12,32,38,10,40
20250526-M-Roland_Garros-R128-Jannik_Sinner-Arthur_Rinderknech,Arthur Rinderknech,1,53,37,9,0,12,28,23,3,27
20250526-M-Roland_Garros-R128-Jannik_Sinner-Arthur_Rinderknech,Arthur Rinderknech,2,35,15,0,0,0,4,15,7,13
20250525-M-Roland_Garros-R128-Yannick_Hanfmann-Lorenzo_Musetti,Yannick Hanfmann,Total,99,51,0,0,3,10,46,8,45
20250525-M-Roland_Garros-R128-Yannick_Hanfmann-Lorenzo_Musetti,Yannick Hanfmann,1,62,31,0,0,3,5,29,6,27
20250525-M-Roland_Garros-R128-Yannick_Hanfmann-Lorenzo_Musetti,Yannick Hanfmann,2,37,20,0,0,0,5,17,2,18
20250525-M-Roland_Garros-R128-Yannick_Hanfmann-Lorenzo_Musetti,Lorenzo Musetti,Total,70,53,5,0,16,30,37,10,23
20250525-M-Roland_Garros-R128-Yannick_Hanfmann-Lorenzo_Musetti,Lorenzo Musetti,1,47,39,4,0,16,25,30,4,13
20250525-M-Roland_Garros-R128-Yannick_Hanfmann-Lorenzo_Musetti,Lorenzo Musetti,2,23,14,1,0,0,5,7,6,10
20250525-M-Roland_Garros-R128-Valentin_Royer-Daniel_Elahi_Galan,Valentin Royer,Total,155,99,15,8,12,48,65,34,56
20250525-M-Roland_Garros-R128-Valentin_Royer-Daniel_Elahi_Galan,Valentin Royer,1,86,63,15,6,12,39,42,11,33
20250525-M-Roland_Garros-R128-Valentin_Royer-Daniel_Elahi_Galan,Valentin Royer,2,69,36,0,2,0,9,23,23,23
20250525-M-Roland_Garros-R128-Valentin_Royer-Daniel_Elahi_Galan,Daniel Elahi Galan,Total,200,122,18,4,23,65,84,48,68
20250525-M-Roland_Garros-R128-Valentin_Royer-Daniel_Elahi_Galan,Daniel Elahi Galan,1,133,86,17,4,22,50,61,15,57
20250525-M-Roland_Garros-R128-Valentin_Royer-Daniel_Elahi_Galan,Daniel Elahi Galan,2,67,36,1,0,1,15,23,33,11
20250525-M-Roland_Garros-R128-Tommy_Paul-Elmer_Moller,Tommy Paul,Total,126,77,4,4,12,40,54,44,28
20250525-M-Roland_Garros-R128-Tommy_Paul-Elmer_Moller,Tommy Paul,1,74,47,4,4,12,25,32,15,27
20250525-M-Roland_Garros-R128-Tommy_Paul-Elmer_Moller,Tommy Paul,2,52,30,0,0,0,15,22,29,1
20250525-M-Roland_Garros-R128-Tommy_Paul-Elmer_Moller,Elmer Moller,Total,121,63,5,2,9,28,40,45,36
20250525-M-Roland_Garros-R128-Tommy_Paul-Elmer_Moller,Elmer Moller,1,72,40,5,2,8,18,25,21,26
20250525-M-Roland_Garros-R128-Tommy_Paul-Elmer_Moller,Elmer Moller,2,49,23,0,0,1,10,15,24,10
20250525-M-Roland_Garros-R128-Kyrian_Jacquet-Nuno_Borges,Kyrian Jacquet,Total,185,108,9,2,27,65,82,55,48
20250525-M-Roland_Garros-R128-Kyrian_Jacquet-Nuno_Borges,Kyrian Jacquet,1,98,71,9,2,26,50,44,12,42
20250525-M-Roland_Garros-R128-Kyrian_Jacquet-Nuno_Borges,Kyrian Jacquet,2,87,37,0,0,1,15,38,43,6
20250525-M-Roland_Garros-R128-Kyrian_Jacquet-Nuno_Borges,Nuno Borges,Total,161,101,8,2,21,52,62,30,69
20250525-M-Roland_Garros-R128-Kyrian_Jacquet-Nuno_Borges,Nuno Borges,1,110,79,7,2,21,42,48,6,56
20250525-M-Roland_Garros-R128-Kyrian_Jacquet-Nuno_Borges,Nuno Borges,2,51,22,1,0,0,10,14,24,13
20250525-M-Roland_Garros-R128-Giovanni_Mpetshi_Perricard-Zizou_Bergs,Giovanni Mpetshi Perricard,Total,127,86,13,5,19,53,60,35,32
20250525-M-Roland_Garros-R128-Giovanni_Mpetshi_Perricard-Zizou_Bergs,Giovanni Mpetshi Perricard,1,78,59,12,5,17,40,45,11,22
20250525-M-Roland_Garros-R128-Giovanni_Mpetshi_Perricard-Zizou_Bergs,Giovanni Mpetshi Perricard,2,49,27,1,0,2,13,15,24,10
20250525-M-Roland_Garros-R128-Giovanni_Mpetshi_Perricard-Zizou_Bergs,Zizou Bergs,Total,138,88,8,4,12,48,50,35,53
20250525-M-Roland_Garros-R128-Giovanni_Mpetshi_Perricard-Zizou_Bergs,Zizou Bergs,1,78,54,8,4,10,31,32,13,33
20250525-M-Roland_Garros-R128-Giovanni_Mpetshi_Perricard-Zizou_Bergs,Zizou Bergs,2,60,34,0,0,2,17,18,22,20
20250524-M-Geneva-F-Hubert_Hurkacz-Novak_Djokovic,Hubert Hurkacz,Total,123,81,19,0,13,48,50,22,51
20250524-M-Geneva-F-Hubert_Hurkacz-Novak_Djokovic,Hubert Hurkacz,1,79,58,19,0,13,38,37,0,42
20250524-M-Geneva-F-Hubert_Hurkacz-Novak_Djokovic,Hubert Hurkacz,2,44,23,0,0,0,10,13,22,9
20250524-M-Geneva-F-Hubert_Hurkacz-Novak_Djokovic,Novak Djokovic,Total,110,79,6,0,22,38,47,6,57
20250524-M-Geneva-F-Hubert_Hurkacz-Novak_Djokovic,Novak Djokovic,1,66,57,6,0,21,31,34,0,32
20250524-M-Geneva-F-Hubert_Hurkacz-Novak_Djokovic,Novak Djokovic,2,44,22,0,0,1,7,13,6,25
