match_id,player,row,first_pts,first_pts_won,first_aces,first_unret,first_forced,first_won_lte_3_shots,second_pts,second_pts_won,second_aces,second_unret,second_forced,second_won_lte_3_shots
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,1,6a,1,0,0,0,0,0,0,0,0,0,0,0
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,2,d,21,15,1,0,3,5,13,4,0,0,0,1
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,2,a,25,14,1,0,1,2,7,3,0,0,1,1
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,2,4,3,2,0,0,0,0,3,1,0,0,1,1
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,2,5,39,23,0,0,4,5,17,6,0,0,0,1
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,2,6,4,4,2,0,0,2,0,0,0,0,0,0
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,2,4d,3,2,0,0,0,0,1,0,0,0,0,0
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,2,4a,0,0,0,0,0,0,2,1,0,0,1,1
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,2,5d,15,10,0,0,3,4,12,4,0,0,0,1
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,2,5a,24,13,0,0,1,1,5,2,0,0,0,0
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,2,6d,3,3,1,0,0,1,0,0,0,0,0,0
20120427-W-Fes-SF-Kiki_Bertens-Simona_Halep,2,6a,1,1,1,0,0,1,0,0,0,0,0,0
20121103-W-WTA_Tour_Championships-RR-Agnieszka_Radwanska-Maria_Sharapova,1,d,46,28,1,1,6,15,18,8,0,0,0,2
20121103-W-WTA_Tour_Championships-RR-Agnieszka_Radwanska-Maria_Sharapova,1,a,39,23,0,0,2,7,21,11,0,0,0,4
20121103-W-WTA_Tour_Championships-RR-Agnieszka_Radwanska-Maria_Sharapova,1,4,25,18,0,0,3,8,18,9,0,0,0,3
20121103-W-WTA_Tour_Championships-RR-Agnieszka_Radwanska-Maria_Sharapova,1,5,27,15,0,0,1,7,7,3,0,0,0,1
20121103-W-WTA_Tour_Championships-RR-Agnieszka_Radwanska-Maria_Sharapova,1,6,32,18,1,1,4,7,14,7,0,0,0,2
20121103-W-WTA_Tour_Championships-RR-Agnieszka_Radwanska-Maria_Sharapova,1,4d,18,12,0,0,3,6,4,1,0,0,0,0
20121103-W-WTA_Tour_Championships-RR-Agnieszka_Radwanska-Maria_Sharapova,1,4a,7,6,0,0,0,2,14,8,0,0,0,3
20121103-W-WTA_Tour_Championships-RR-Agnieszka_Radwanska-Maria_Sharapova,1,5d,14,7,0,0,1,4,4,2,0,0,0,1
20121103-W-WTA_Tour_Championships-RR-Agnieszka_Radwanska-Maria_Sharapova,1,5a,13,8,0,0,0,3,3,1,0,0,0,0
20121103-W-WTA_Tour_Championships-RR-Agnieszka_Radwanska-Maria_Sharapova,1,6d,14,9,1,1,2,5,10,5,0,0,0,1
20121103-W-WTA_Tour_Championships-RR-Agnieszka_Radwanska-Maria_Sharapova,1,6a,18,9,0,0,2,2,4,2,0,0,0,1
20121103-W-WTA_Tour_Championships-RR-Agnieszka_Radwanska-Maria_Sharapova,2,d,34,24,5,1,6,17,20,8,1,0,1,2
20121103-W-WTA_Tour_Championships-RR-Agnieszka_Radwanska-Maria_Sharapova,2,a,28,17,1,1,4,10,23,13,0,0,0,4
20121103-W-WTA_Tour_Championships-RR-Agnieszka_Radwanska-Maria_Sharapova,2,4,34,23,4,1,8,16,13,7,1,0,1,2
20121103-W-WTA_Tour_Championships-RR-Agnieszka_Radwanska-Maria_Sharapova,2,5,13,7,0,0,0,4,16,10,0,0,0,3
