match_id,row,pts,pts_won,rally_winners,rally_forced,unforced
20140124-M-Australian_Open-SF-Roger_Federer-Rafael_Nadal,GPF2,17,6,4,1,2
20140124-M-Australian_Open-SF-Roger_Federer-Rafael_Nadal,DeuceR1,6,0,0,0,6
20140124-M-Australian_Open-SF-Roger_Federer-Rafael_Nadal,DeuceR2,14,7,3,1,2
20140124-M-Australian_Open-SF-Roger_Federer-Rafael_Nadal,RTotal1,26,5,2,1,11
20140124-M-Australian_Open-SF-Roger_Federer-Rafael_Nadal,RTotal2,45,17,8,2,5
20130121-M-Australian_Open-R16-Roger_Federer-Milos_Raonic,BPO1,7,3,0,0,0
20130121-M-Australian_Open-R16-Roger_Federer-Milos_Raonic,BPO2,0,0,0,0,0
20130121-M-Australian_Open-R16-Roger_Federer-Milos_Raonic,GPF1,19,7,1,1,1
20130121-M-Australian_Open-R16-Roger_Federer-Milos_Raonic,GPF2,17,2,0,0,2
20130121-M-Australian_Open-R16-Roger_Federer-Milos_Raonic,DeuceR1,8,2,1,0,0
20130121-M-Australian_Open-R16-Roger_Federer-Milos_Raonic,DeuceR2,4,0,0,0,1
20130121-M-Australian_Open-R16-Roger_Federer-Milos_Raonic,RTotal1,34,12,2,1,1
20130121-M-Australian_Open-R16-Roger_Federer-Milos_Raonic,RTotal2,21,2,0,0,3
20140122-M-Australian_Open-QF-Grigor_Dimitrov-Rafael_Nadal,BPO1,6,3,0,0,0
20140122-M-Australian_Open-QF-Grigor_Dimitrov-Rafael_Nadal,BPO2,11,4,2,1,3
20140122-M-Australian_Open-QF-Grigor_Dimitrov-Rafael_Nadal,GPF1,23,6,1,1,3
20140122-M-Australian_Open-QF-Grigor_Dimitrov-Rafael_Nadal,GPF2,30,13,2,2,2
20140122-M-Australian_Open-QF-Grigor_Dimitrov-Rafael_Nadal,DeuceR1,10,4,1,0,1
20140122-M-Australian_Open-QF-Grigor_Dimitrov-Rafael_Nadal,DeuceR2,22,7,3,1,4
20140122-M-Australian_Open-QF-Grigor_Dimitrov-Rafael_Nadal,RTotal1,39,13,2,1,4
20140122-M-Australian_Open-QF-Grigor_Dimitrov-Rafael_Nadal,RTotal2,63,24,7,4,9
20140118-M-Australian_Open-R32-Gael_Monfils-Rafael_Nadal,BPO1,6,0,0,0,1
20140118-M-Australian_Open-R32-Gael_Monfils-Rafael_Nadal,BPO2,12,6,0,2,0
20140118-M-Australian_Open-R32-Gael_Monfils-Rafael_Nadal,GPF1,20,8,2,3,2
20140118-M-Australian_Open-R32-Gael_Monfils-Rafael_Nadal,GPF2,18,12,1,3,0
20140118-M-Australian_Open-R32-Gael_Monfils-Rafael_Nadal,DeuceR1,12,6,2,0,2
20140118-M-Australian_Open-R32-Gael_Monfils-Rafael_Nadal,DeuceR2,22,8,1,2,3
20140118-M-Australian_Open-R32-Gael_Monfils-Rafael_Nadal,RTotal1,38,14,4,3,5
20140118-M-Australian_Open-R32-Gael_Monfils-Rafael_Nadal,RTotal2,52,26,2,7,3
20140120-M-Australian_Open-R16-Kei_Nishikori-Rafael_Nadal,BPO1,10,4,0,1,2
20140120-M-Australian_Open-R16-Kei_Nishikori-Rafael_Nadal,BPO2,8,5,1,1,0
20140120-M-Australian_Open-R16-Kei_Nishikori-Rafael_Nadal,GPF1,25,11,4,2,3
20140120-M-Australian_Open-R16-Kei_Nishikori-Rafael_Nadal,GPF2,18,5,1,1,4
20140120-M-Australian_Open-R16-Kei_Nishikori-Rafael_Nadal,DeuceR1,13,3,1,1,1
20140120-M-Australian_Open-R16-Kei_Nishikori-Rafael_Nadal,DeuceR2,10,2,0,0,0
20140120-M-Australian_Open-R16-Kei_Nishikori-Rafael_Nadal,RTotal1,48,18,5,4,6
20140120-M-Australian_Open-R16-Kei_Nishikori-Rafael_Nadal,RTotal2,36,12,2,2,4
20140126-M-Australian_Open-F-Stanislas_Wawrinka-Rafael_Nadal,BPO1,15,5,4,1,5
20140126-M-Australian_Open-F-Stanislas_Wawrinka-Rafael_Nadal,BPO2,6,2,0,0,3
20140126-M-Australian_Open-F-Stanislas_Wawrinka-Rafael_Nadal,GPF1,17,5,1,1,4
20140126-M-Australian_Open-F-Stanislas_Wawrinka-Rafael_Nadal,GPF2,24,8,3,2,1
20140126-M-Australian_Open-F-Stanislas_Wawrinka-Rafael_Nadal,DeuceR1,11,2,1,1,5
20140126-M-Australian_Open-F-Stanislas_Wawrinka-Rafael_Nadal,DeuceR2,3,0,0,0,0
20140126-M-Australian_Open-F-Stanislas_Wawrinka-Rafael_Nadal,RTotal1,43,12,6,3,14
20140126-M-Australian_Open-F-Stanislas_Wawrinka-Rafael_Nadal,RTotal2,33,10,3,2,4
20140113-M-Australian_Open-R128-Bernard_Tomic-Rafael_Nadal,BPO1,0,0,0,0,0
20140113-M-Australian_Open-R128-Bernard_Tomic-Rafael_Nadal,BPO2,1,1,0,0,0
20140113-M-Australian_Open-R128-Bernard_Tomic-Rafael_Nadal,GPF1,6,1,1,0,1
